,sample_size,cv_r2_mean,cv_RMSE_mean,cv_MAE_mean,train_r2,train_RMSE,train_MAE,test_r2,test_RMSE,test_MAE
0,808,0.7181004790580382,1.9997045659976092,1.331308787097695,0.9092758341610899,1.1469022815690924,0.7048614083845266,0.7053158044734839,2.153742366616551,1.2682495122818849
1,1616,0.7937567269568623,1.7198081933716096,1.0660813039475774,0.9415411240983427,0.9213604182365555,0.5353829091194007,0.8746083075359662,1.4852632302833908,0.9068746626096593
2,2424,0.8490634191963065,1.505710756671571,0.8868639753488775,0.9584708055569325,0.793257368409325,0.4394258790720991,0.8752750454311664,1.381488137059775,0.8192817811284737
3,3232,0.8663171613340317,1.3979080532508907,0.8104235728662547,0.965573851389227,0.7122586905256652,0.3898641231780547,0.9074513161603591,1.2720641260083714,0.6819742182114545
4,4040,0.8872978100410416,1.2950681176218544,0.7233154505357776,0.9704109091307478,0.6732570491394011,0.3503904113357973,0.9326538685072212,1.0272524348651253,0.5979051224440951
5,4849,0.8931747617861167,1.2743405745269778,0.6447660031127049,0.9745737549439617,0.6254275132417396,0.3112732368457681,0.9401659748641226,0.9833857852363169,0.5363265723752887
6,5657,0.9149282322302256,1.1250577671856083,0.5822521581514388,0.9742767026318698,0.6235130271380194,0.2920590340124651,0.9403865066611443,1.0231151294391325,0.5077113427558939
7,6465,0.9192274161377784,1.1286271580750131,0.5544233508196734,0.9772681136813811,0.5999625326616054,0.2723060478857153,0.9514354851632214,0.9137883817389792,0.4532656464977743
8,7273,0.9292590361366532,1.0450429540283614,0.5026173694328216,0.9808643277820122,0.546059382395966,0.24389933308320197,0.9456788808810405,0.9950377480760164,0.45302235316479184
9,8081,0.9442357109460409,0.941275412431396,0.45740436192190154,0.9835878954012713,0.5138693340709843,0.22456321197759715,0.9571659869991556,0.8493060818177627,0.379218010669108
